trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,6,-117.2362852765798,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-83.58358980850674,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-133.3176362835406,"{0: 23, 1: 3, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-103.69704160600881,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-124.95969069616208,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-123.51123203236709,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-60.578633026885576,"{0: 21, 1: 0, 2: 9, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-155.94021947510643,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-56.381932303113665,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,7,-5.880988833570653,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,11,6.392107385911438,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-55.45904622246537,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-123.09718764777062,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,6,-79.93568652466702,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,14,17.55529617968033,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,16,-53.30196530795926,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-59.22763516105115,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,19,9.657413449373044,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,1.0954977081380919,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,8,-50.41143989528765,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",20,12,16.214772746395678,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,6,34.69745737206988,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,6,19.384804330135974,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,17,17.20314579658711,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,17.927632843691466,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,16,14.18957746883638,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,3,-20.37604895727044,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,14,13.272266243789026,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,20.483252078118834,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,2,-23.49306342047147,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 1}",1
