trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.999}",30,0,-220.33005468077963,"{0: 14, 1: 5, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.2, 'e': 0.998}",20,0,-128.62926043897863,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.997}",25,0,-128.86579210947804,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.996}",25,4,-150.50388144244855,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 2}",1
5,False,"{'a': 0.2, 'e': 0.995}",25,0,-137.23966808409244,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.994}",20,0,-204.3826555730011,"{0: 6, 1: 5, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.2, 'e': 0.993}",20,0,-127.81261069225668,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.992}",25,0,-166.0330698527616,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.991}",30,0,-38.47781548597692,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.99}",30,0,-154.2628947165155,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.2, 'e': 0.989}",20,0,-201.74044399167093,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.2, 'e': 0.988}",25,0,-120.66191929207258,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.2, 'e': 0.987}",20,0,-45.00864799049255,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.2, 'e': 0.986}",25,0,-105.01685129632497,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.985}",20,0,-106.34593863198205,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",1
16,False,"{'a': 0.2, 'e': 0.984}",25,3,-88.2739234497152,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 1}",1
17,False,"{'a': 0.2, 'e': 0.983}",20,0,-52.79236630962452,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.2, 'e': 0.982}",25,0,-238.93207917342815,"{0: 11, 1: 3, 2: 4, 3: 4, 4: 3}",0
19,False,"{'a': 0.2, 'e': 0.981}",30,0,-227.74599784172167,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
20,False,"{'a': 0.2, 'e': 0.98}",20,0,-38.53124642233782,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
