trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.01}",25,0,-237.0140645852525,"{0: 11, 1: 3, 2: 5, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.01}",25,1,-65.75468346530765,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.01}",20,0,-98.1702376436049,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.01}",20,0,-171.1393029314731,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.01}",30,1,-187.57314626069288,"{0: 15, 1: 1, 2: 10, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.01}",25,0,-144.40318370378031,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.01}",20,0,-119.2932467215562,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.01}",20,0,-92.54440738668211,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.01}",20,0,-70.3275719234845,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.01}",20,0,-76.1796577882562,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.01}",25,11,-88.58928672412951,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.01}",20,0,-25.442355410426718,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.01}",20,0,-23.635308722102998,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.01}",25,0,-82.45797300381554,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.01}",25,0,-132.11450677803103,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.01}",30,0,-160.31058434413208,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.01}",35,0,-101.01161037204936,"{0: 24, 1: 2, 2: 6, 3: 3, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.01}",30,0,-157.56721278604977,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.01}",20,0,-132.76737163659055,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.01}",20,0,-106.27179140686997,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 0.01}",25,0,-153.44116941013448,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 0.01}",25,0,-168.28255930419812,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 0.01}",30,0,-87.5033861899622,"{0: 17, 1: 6, 2: 6, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 0.01}",20,0,-29.400670998007612,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 0.01}",25,0,-156.880696474207,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 0.01}",25,0,-177.18130027223563,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 0.01}",30,0,-157.7153616709005,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 0.01}",20,0,-167.01027545600704,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 0.01}",20,0,-164.69561033172891,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 0.01}",25,0,-80.95993126673545,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
